epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.90745,1.69259,2.95794,3.39391,1.18339,0.01142,0.65385,0.01415,0.00653,0.01175,0.67308,0.01454,0.00659,1.478,2.87806,3.39326,1.0145,0.000650794,0.000650794,0.000650794
2,10.4018,1.79166,2.83043,3.2093,1.12878,0.01467,0.84615,0.05476,0.03109,0.015,0.86538,0.05823,0.03015,1.54299,2.36548,3.24911,1.06185,0.00129137,0.00129137,0.00129137
3,14.719,1.6446,2.30804,3.11538,1.08509,0.01467,0.84615,0.05476,0.03109,0.015,0.86538,0.05823,0.03015,1.54299,2.36548,3.24911,1.06185,0.00190556,0.00190556,0.00190556
4,19.1081,1.83273,3.55317,3.08227,1.24003,0.1585,0.11538,0.08123,0.02574,0.35865,0.21154,0.16833,0.06762,1.83811,3.03595,2.99967,1.3356,0.0018812,0.0018812,0.0018812
5,23.4839,1.66663,5.70092,2.82175,1.15932,0.36842,0.30769,0.3136,0.1206,0.12362,0.15385,0.07219,0.01635,1.61774,6.52341,2.45464,1.24327,0.0018416,0.0018416,0.0018416
6,27.9981,1.68483,7.38713,2.7779,1.14037,0.36842,0.30769,0.3136,0.1206,0.12362,0.15385,0.07219,0.01635,1.61774,6.52341,2.45464,1.24327,0.001802,0.001802,0.001802
7,32.8522,1.67124,3.66338,2.60998,1.17593,0.50709,0.36538,0.43923,0.21097,0.51154,0.36538,0.4156,0.17107,1.66644,4.1526,2.39705,1.27924,0.0017624,0.0017624,0.0017624
8,37.7981,1.64037,3.0332,2.40604,1.15889,0.68224,0.48077,0.58558,0.3054,0.68002,0.5,0.61162,0.28099,1.61444,2.41965,1.97753,1.24853,0.0017228,0.0017228,0.0017228
9,42.5561,1.62191,2.77606,2.42643,1.12481,0.68224,0.48077,0.58558,0.3054,0.68002,0.5,0.61162,0.28099,1.61444,2.41965,1.97753,1.24853,0.0016832,0.0016832,0.0016832
10,47.7581,1.53783,2.48526,2.04581,1.1324,0.7121,0.5709,0.70117,0.41113,0.75986,0.60862,0.72162,0.35788,1.49158,2.7255,1.74697,1.13003,0.0016436,0.0016436,0.0016436
11,52.4417,1.458,2.1896,1.79845,1.07184,0.6811,0.75,0.74633,0.45014,0.6811,0.75,0.74682,0.42523,1.34131,2.66619,1.5133,1.08671,0.001604,0.001604,0.001604
12,57.2332,1.40857,1.99496,1.81651,1.05802,0.6811,0.75,0.74633,0.45014,0.6811,0.75,0.74682,0.42523,1.34131,2.66619,1.5133,1.08671,0.0015644,0.0015644,0.0015644
13,61.678,1.28738,1.89054,1.88308,1.02915,0.79594,0.75,0.80332,0.47786,0.79594,0.75,0.80786,0.39611,1.38586,2.36335,1.3866,1.07728,0.0015248,0.0015248,0.0015248
14,66.1151,1.34115,1.97374,1.78531,1.05737,0.75819,0.78846,0.79714,0.46161,0.75819,0.78846,0.80573,0.36831,1.38515,2.21253,1.41858,1.09411,0.0014852,0.0014852,0.0014852
15,70.6814,1.29404,2.04669,2.01328,1.08435,0.75819,0.78846,0.79714,0.46161,0.75819,0.78846,0.80573,0.36831,1.38515,2.21253,1.41858,1.09411,0.0014456,0.0014456,0.0014456
16,75.4834,1.20411,1.90374,2.05746,0.98918,0.71948,0.76923,0.77921,0.48622,0.7734,0.73077,0.77915,0.35974,1.25604,2.16403,1.43059,1.03172,0.001406,0.001406,0.001406
17,79.8521,1.2924,1.82318,1.45966,1.02144,0.85616,0.76923,0.83942,0.56642,0.834,0.75,0.80843,0.46876,1.14334,2.02047,1.34375,0.98798,0.0013664,0.0013664,0.0013664
18,84.1852,1.27728,1.84385,1.49465,1.02572,0.85616,0.76923,0.83942,0.56642,0.834,0.75,0.80843,0.46876,1.14334,2.02047,1.34375,0.98798,0.0013268,0.0013268,0.0013268
19,88.5975,1.183,1.64431,1.44031,1.01695,0.96426,0.82692,0.90178,0.60583,0.96426,0.82692,0.89895,0.54792,1.13357,1.92343,1.15301,0.96181,0.0012872,0.0012872,0.0012872
20,93.135,1.25165,1.82144,1.39293,0.99149,0.96553,0.84615,0.9026,0.62157,0.96553,0.84615,0.9087,0.53223,1.06009,1.83715,1.13957,0.94321,0.0012476,0.0012476,0.0012476
21,97.6214,1.16479,1.66225,1.32413,0.98197,0.96553,0.84615,0.9026,0.62157,0.96553,0.84615,0.9087,0.53223,1.06009,1.83715,1.13957,0.94321,0.001208,0.001208,0.001208
22,102.094,1.138,1.66969,1.57452,0.93889,0.9763,0.84615,0.91321,0.59947,0.9763,0.84615,0.91608,0.53412,1.13479,1.82502,1.09265,0.9633,0.0011684,0.0011684,0.0011684
23,106.451,1.10216,1.63756,1.26542,1.0263,0.92843,0.82692,0.91603,0.61957,0.93612,0.84551,0.92252,0.53892,1.14295,1.71355,1.15363,0.96739,0.0011288,0.0011288,0.0011288
24,110.956,1.19743,1.82986,1.28515,0.99259,0.92843,0.82692,0.91603,0.61957,0.93612,0.84551,0.92252,0.53892,1.14295,1.71355,1.15363,0.96739,0.0010892,0.0010892,0.0010892
25,115.293,1.18578,1.7701,1.39148,1.01323,0.93758,0.80769,0.91911,0.62727,0.91526,0.78846,0.89287,0.51554,1.12235,1.78768,1.11856,0.9748,0.0010496,0.0010496,0.0010496
26,119.655,1.09449,1.66726,1.30744,0.99574,0.94975,0.80769,0.91964,0.62492,0.92714,0.78846,0.89158,0.52606,1.16757,1.83691,1.07084,0.98149,0.00101,0.00101,0.00101
27,124.15,1.19704,1.819,1.32502,1.01455,0.94975,0.80769,0.91964,0.62492,0.92714,0.78846,0.89158,0.52606,1.16757,1.83691,1.07084,0.98149,0.0009704,0.0009704,0.0009704
28,128.539,1.13073,1.74647,1.28262,0.97568,0.96736,0.80769,0.93709,0.62344,0.94362,0.78846,0.90731,0.57379,1.13828,1.83687,1.08783,0.96541,0.0009308,0.0009308,0.0009308
29,132.952,1.08138,1.7341,1.2998,0.96688,0.93362,0.81156,0.94161,0.665,0.95575,0.83079,0.93565,0.57323,1.04682,1.76912,1.01268,0.93532,0.0008912,0.0008912,0.0008912
30,137.331,1.12089,1.83363,1.15057,0.96261,0.93362,0.81156,0.94161,0.665,0.95575,0.83079,0.93565,0.57323,1.04682,1.76912,1.01268,0.93532,0.0008516,0.0008516,0.0008516
31,141.764,1.0617,1.60538,1.14169,0.96564,0.95262,0.80769,0.92908,0.6822,0.97551,0.82692,0.92727,0.58044,0.99286,1.70784,0.9783,0.92464,0.000812,0.000812,0.000812
32,146.443,1.05638,1.61138,1.484,0.93566,1,0.84536,0.95205,0.70563,1,0.84536,0.93405,0.57075,0.98315,1.6858,0.95358,0.91933,0.0007724,0.0007724,0.0007724
33,150.981,1.08139,1.71278,1.15132,0.97673,1,0.84536,0.95205,0.70563,1,0.84536,0.93405,0.57075,0.98315,1.6858,0.95358,0.91933,0.0007328,0.0007328,0.0007328
34,155.483,1.09968,1.64769,1.34449,0.95767,0.9572,0.86017,0.95777,0.69928,0.9572,0.86017,0.94239,0.57537,1.0104,1.7387,0.95729,0.92545,0.0006932,0.0006932,0.0006932
35,159.775,1.11148,1.60807,1.19804,0.95393,0.9572,0.86017,0.95777,0.69928,0.9572,0.86017,0.94239,0.57537,1.0104,1.7387,0.95729,0.92545,0.0006536,0.0006536,0.0006536
36,164.077,1.03472,1.54644,1.16706,0.94768,0.93841,0.87917,0.9598,0.69703,1,0.82545,0.94216,0.57815,1.00178,1.76556,0.93196,0.92965,0.000614,0.000614,0.000614
37,168.527,1.08357,1.57794,1.1498,0.97833,1,0.84448,0.95613,0.68883,0.97723,0.8254,0.92895,0.57808,1.00053,1.7421,0.89254,0.93075,0.0005744,0.0005744,0.0005744
38,172.811,1.0265,1.59232,1.09631,0.94408,1,0.84448,0.95613,0.68883,0.97723,0.8254,0.92895,0.57808,1.00053,1.7421,0.89254,0.93075,0.0005348,0.0005348,0.0005348
39,177.22,1.03099,1.60629,1.22619,0.93057,0.99935,0.84615,0.95735,0.68478,0.99935,0.84615,0.94294,0.58523,1.00929,1.7624,0.88255,0.92584,0.0004952,0.0004952,0.0004952
40,181.549,1.0021,1.46905,1.09266,0.94684,1,0.8455,0.95744,0.6824,1,0.8455,0.9447,0.59932,0.97599,1.72382,0.87659,0.9185,0.0004556,0.0004556,0.0004556
41,186.022,0.99141,1.66127,1.06793,0.89368,1,0.8455,0.95744,0.6824,1,0.8455,0.9447,0.59932,0.97599,1.72382,0.87659,0.9185,0.000416,0.000416,0.000416
42,190.626,1.06398,1.58463,1.16784,0.93416,1,0.86393,0.95635,0.69237,1,0.86393,0.93863,0.58583,0.96865,1.79309,0.8586,0.91106,0.0003764,0.0003764,0.0003764
43,195.114,1.01965,1.49304,1.08933,0.93861,1,0.86135,0.95633,0.70713,1,0.86135,0.93877,0.58262,0.928,1.77746,0.85776,0.89712,0.0003368,0.0003368,0.0003368
44,199.551,1.03586,1.62078,1.23059,0.9117,1,0.86135,0.95633,0.70713,1,0.86135,0.93877,0.58262,0.928,1.77746,0.85776,0.89712,0.0002972,0.0002972,0.0002972
45,204.04,1.04583,1.63194,1.1119,0.92807,0.95821,0.88186,0.95599,0.70776,0.95821,0.88186,0.93791,0.5911,0.91404,1.7919,0.86896,0.89047,0.0002576,0.0002576,0.0002576
46,208.421,0.99678,1.57412,1.07464,0.91187,0.95826,0.883,0.95808,0.71427,0.95826,0.883,0.93868,0.59664,0.90424,1.74129,0.85785,0.88728,0.000218,0.000218,0.000218
47,213.03,0.98636,1.57264,1.02321,0.90502,0.95826,0.883,0.95808,0.71427,0.95826,0.883,0.93868,0.59664,0.90424,1.74129,0.85785,0.88728,0.0001784,0.0001784,0.0001784
48,217.514,1.02706,1.5856,1.11514,0.89596,0.95325,0.88462,0.95456,0.71332,0.95325,0.88462,0.93938,0.6133,0.921,1.79976,0.8634,0.89011,0.0001388,0.0001388,0.0001388
49,222.014,0.9561,1.53055,1.04874,0.93807,0.95064,0.88462,0.95424,0.70847,0.95064,0.88462,0.9386,0.60294,0.90783,1.74711,0.84998,0.88815,9.92e-05,9.92e-05,9.92e-05
