epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.85951,1.69259,2.95794,3.39391,1.18339,0.01142,0.65385,0.01415,0.00653,0.01175,0.67308,0.01454,0.00659,1.478,2.87806,3.39326,1.0145,0.000650794,0.000650794,0.000650794
2,10.2524,1.79197,2.8315,3.20931,1.12896,0.01467,0.84615,0.05586,0.03186,0.015,0.86538,0.05929,0.03104,1.55101,2.37084,3.24999,1.0647,0.00130442,0.00130442,0.00130442
3,14.5154,1.64578,2.31043,3.11408,1.08547,0.01467,0.84615,0.05586,0.03186,0.015,0.86538,0.05929,0.03104,1.55101,2.37084,3.24999,1.0647,0.00194484,0.00194484,0.00194484
4,18.9189,1.8509,3.61074,3.08512,1.25379,0.14262,0.13462,0.08452,0.02755,0.20932,0.19231,0.14061,0.06558,1.87192,3.09301,3.00975,1.37136,0.0019406,0.0019406,0.0019406
5,23.3908,1.68662,6.12674,2.82542,1.17282,0.44994,0.34607,0.36044,0.12432,0.11607,0.15385,0.05984,0.01225,1.64458,7.23925,2.44633,1.25673,0.0019208,0.0019208,0.0019208
