epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.76877,0,0,5.06562,0,0,0,0,0,0,0,0,0,0,0,8.14935,0,0.000650794,0.000650794,0.000650794
2,7.9737,0,0,4.91826,0,0,0,0,0,0,0,0,0,0,0,8.29833,0,0.00130442,0.00130442,0.00130442
3,11.2582,0,0,4.85719,0,0,0,0,0,0,0,0,0,0,0,8.29833,0,0.00194484,0.00194484,0.00194484
4,14.5246,0,0,4.64285,0,0,0,0,0,0,0,0,0,0,0,7.55614,0,0.0019406,0.0019406,0.0019406
5,17.8059,0,0,4.54144,0,0,0,0,0,0,0,0,0,0,0,6.08264,0,0.0019208,0.0019208,0.0019208
6,21.0485,0,0,4.42703,0,0,0,0,0,0,0,0,0,0,0,6.08264,0,0.001901,0.001901,0.001901
7,24.4087,0,0,4.23233,0,0,0,0,0,0,0,0,0,0,0,6.73461,0,0.0018812,0.0018812,0.0018812
8,28.0934,0,0,4.13278,0,0,0,0,0,0,0,0,0,0,0,5.19343,0,0.0018614,0.0018614,0.0018614
